Transaction ID,Date,Account Number,Transaction Type,Amount,Source System,Reconciliation Status,Discrepancy Reason,Currency,Branch Code,Processed By,Approval Status,Comments,Transaction Mode,Last Modified
TXN000091,2024-02-01,ACC000163,Unknown,7711.74,General Ledger,Mismatched,Missing,EUR,BRC012,User_31,Rejected,Duplicate entry,ATM,2024-02-01
TXN000092,2024-03-23,ACC000471,Payment,8648.97,Payroll,Pending,Duplicate,EUR,BRC001,User_47,Rejected,,Unknown,2024-03-23
TXN000093,2024-01-01,ACC000013,Withdrawal,765.17,Bank,Pending,Missing,GBP,BRC007,User_8,Pending,Urgent,ATM,2024-01-01
TXN000094,2024-02-15,ACC000062,Transfer,4594.33,Bank,Pending,None,USD,BRC018,User_9,Rejected,Confirmed,Wire Transfer,2024-02-15
TXN000095,2024-02-09,,Withdrawal,3322.72,ERP,Pending,Missing,USD,BRC002,User_31,Rejected,Duplicate entry,Wire Transfer,2024-02-09
TXN000096,2024-01-15,ACC000268,Payment,523.25,ERP,Pending,Incorrect Amount,NGN,BRC001,User_13,Pending,Urgent,Manual Entry,2024-01-15
TXN000097,2024-01-20,ACC000141,Deposit,-1115.04,CRM,Mismatched,Duplicate,NGN,BRC017,User_8,Approved,Urgent,Online,
TXN000098,2024-03-09,ACC000199,Deposit,-122.19,Unknown,Adjusted,None,CAD,BRC014,User_22,Pending,Needs review,Manual Entry,2024-03-09
TXN000099,2024-02-10,ACC000043,Withdrawal,-1741.5,CRM,Matched,None,USD,BRC010,User_38,Approved,Needs review,POS,2024-02-10
TXN000100,2024-02-12,ACC000338,Payment,14462.48,ERP,Matched,None,NGN,BRC001,User_17,Rejected,Needs review,Online,2024-02-12
TXN000101,2024-01-12,ACC000273,Transfer,746.41,Bank,Matched,None,GBP,BRC013,User_42,Rejected,,Wire Transfer,2024-01-12
TXN000102,2024-01-12,ACC000267,Deposit,10562.89,Payroll,Matched,None,CAD,BRC016,User_43,Approved,,Wire Transfer,2024-01-12
TXN000103,2024-03-08,ACC000402,Invoice,1801.59,Payroll,Matched,None,CAD,BRC019,User_37,Approved,,Wire Transfer,2024-03-08
TXN000104,2024-01-02,ACC000194,Transfer,963.5,CRM,Pending,None,GBP,BRC003,User_3,Approved,Incorrect amount,Online,2024-01-02
TXN000105,2024-03-10,ACC000196,Deposit,12474.86,ERP,Matched,None,CAD,BRC012,User_7,Pending,Incorrect amount,Wire Transfer,2024-03-10
TXN000106,2024-03-09,ACC000449,Payment,7080.5,Bank,Pending,Incorrect Amount,NGN,BRC016,User_3,Pending,,Wire Transfer,2024-03-09
TXN000107,2024-02-24,ACC000085,Invoice,9040.74,Payroll,Matched,None,CAD,BRC006,User_49,Approved,Urgent,ATM,2024-02-24
TXN000108,2024-01-27,ACC000143,Withdrawal,33.24,Payroll,Matched,None,NGN,BRC004,User_24,Approved,Needs review,Online,2024-01-27
TXN000109,2024-02-07,ACC000293,Transfer,12132.06,Bank,Pending,None,NGN,BRC007,User_28,Rejected,Urgent,ATM,2024-02-07
TXN000110,2024-03-30,ACC000130,Invoice,8525.33,ERP,Adjusted,Duplicate,USD,BRC018,,Pending,Incorrect amount,Online,2024-03-30
TXN000111,2024-03-03,ACC000182,Payment,8929.85,Bank,,Missing,NGN,BRC015,User_48,Rejected,,ATM,2024-03-03
TXN000112,2024-02-26,ACC000028,Invoice,-2489.45,Unknown,Adjusted,Incorrect Amount,GBP,BRC013,User_50,Pending,Duplicate entry,Wire Transfer,
TXN000113,2024-03-20,ACC000174,Payment,500.5,Payroll,Matched,None,USD,BRC016,User_13,Pending,Duplicate entry,ATM,2024-03-20
TXN000114,2024-03-18,ACC000019,Payment,14492.92,Payroll,Matched,None,NGN,BRC007,User_35,Unknown,,Unknown,2024-03-18
TXN000115,2024-02-24,ACC000448,Transfer,-1819.12,Bank,Pending,Duplicate,CAD,BRC001,User_11,Approved,Incorrect amount,POS,2024-02-24
TXN000116,2024-03-24,,Payment,4760.32,Bank,Matched,None,NGN,BRC007,User_43,Pending,Confirmed,ATM,2024-03-24
TXN000117,,ACC000051,Invoice,-4190.64,CRM,Adjusted,Incorrect Amount,EUR,BRC001,User_30,Approved,,POS,
TXN000118,2024-01-06,ACC000009,Deposit,13991.8,Bank,Pending,Incorrect Amount,NGN,BRC001,User_40,Pending,,ATM,2024-01-06
TXN000119,2024-03-19,ACC000446,Deposit,965.45,CRM,Adjusted,Duplicate,EUR,BRC014,User_48,Pending,Incorrect amount,Wire Transfer,2024-03-19
TXN000120,2024-03-18,ACC000098,Deposit,9195.77,CRM,Matched,None,GBP,BRC019,User_29,Pending,Urgent,ATM,2024-03-18
TXN000121,2024-03-02,ACC000263,Deposit,14977.41,Bank,Mismatched,Missing,NGN,BRC010,User_4,Unknown,Needs review,POS,2024-03-02
TXN000122,2024-01-26,ACC000385,Invoice,3046.63,Payroll,Mismatched,Missing,CAD,BRC007,User_22,Approved,Incorrect amount,ATM,2024-01-26
TXN000123,2024-02-08,ACC000312,Withdrawal,10498.2,General Ledger,Adjusted,None,EUR,BRC011,User_10,Pending,Confirmed,Online,2024-02-08
TXN000124,2024-02-21,ACC000093,Invoice,-2481.32,CRM,Adjusted,Missing,CAD,BRC018,User_30,Approved,Duplicate entry,Online,2024-02-21
TXN000125,2024-01-06,ACC000390,Withdrawal,3939.69,CRM,Mismatched,Incorrect Amount,CAD,BRC020,User_21,Rejected,,ATM,2024-01-06
TXN000126,2024-03-22,ACC000407,Withdrawal,7432.18,CRM,Mismatched,Missing,CAD,BRC014,User_40,Rejected,Needs review,Manual Entry,2024-03-22
TXN000127,2024-02-24,ACC000278,Payment,2960.21,Payroll,Pending,None,USD,BRC007,User_26,Pending,Duplicate entry,POS,2024-02-24
TXN000128,2024-03-15,ACC000325,Payment,-2992.6,General Ledger,Pending,Incorrect Amount,CAD,BRC002,User_5,Approved,Urgent,Online,2024-03-15
TXN000129,2024-01-28,ACC000049,Withdrawal,11718.86,General Ledger,Mismatched,None,GBP,BRC014,User_36,Pending,Confirmed,ATM,2024-01-28
TXN000130,2024-02-13,ACC000319,Invoice,9074.78,Payroll,Pending,Duplicate,NGN,BRC013,User_29,Rejected,Duplicate entry,POS,2024-02-13
TXN000131,2024-03-01,,Withdrawal,-57.78,General Ledger,Mismatched,Incorrect Amount,GBP,BRC002,User_15,Approved,Needs review,Manual Entry,2024-03-01
TXN000132,2024-01-07,ACC000169,Unknown,7545.86,General Ledger,Pending,Missing,EUR,BRC018,User_34,Rejected,Needs review,ATM,2024-01-07
TXN000133,2024-03-24,ACC000128,Invoice,7948.76,CRM,Adjusted,Incorrect Amount,GBP,BRC007,User_40,Rejected,,Manual Entry,2024-03-24
TXN000134,2024-03-02,ACC000316,Withdrawal,10039.03,Payroll,Adjusted,Incorrect Amount,GBP,BRC013,User_17,Rejected,Duplicate entry,POS,2024-03-02
TXN000135,2024-03-02,ACC000234,Deposit,8317.96,General Ledger,Pending,Missing,NGN,BRC005,User_14,Pending,Urgent,ATM,2024-03-02
TXN000136,2024-01-31,ACC000219,Invoice,10071.33,ERP,Mismatched,None,NGN,BRC016,User_21,Approved,,ATM,2024-01-31
TXN000137,2024-03-19,ACC000465,Payment,1071.65,General Ledger,Matched,None,EUR,BRC007,User_20,Rejected,Duplicate entry,Online,2024-03-19
TXN000138,2024-01-26,ACC000024,Withdrawal,5756.92,CRM,Pending,Missing,NGN,BRC020,User_14,Pending,,Online,2024-01-26
TXN000139,2024-03-23,ACC000049,Transfer,-879.16,CRM,Mismatched,Duplicate,EUR,BRC015,User_30,Pending,Confirmed,Wire Transfer,2024-03-23
TXN000140,2024-01-19,ACC000214,Withdrawal,1791.05,CRM,Adjusted,Duplicate,EUR,BRC003,User_49,Rejected,,Manual Entry,2024-01-19
TXN000141,2024-02-08,ACC000403,Invoice,6835.17,Payroll,Adjusted,None,GBP,BRC012,User_30,Approved,Urgent,POS,2024-02-08
TXN000142,2024-03-18,ACC000368,Withdrawal,2298.4,CRM,Pending,None,GBP,BRC001,User_12,Pending,,Manual Entry,2024-03-18
TXN000143,2024-03-15,ACC000235,Invoice,8033.39,ERP,Adjusted,Duplicate,USD,BRC009,User_24,Rejected,Confirmed,POS,2024-03-15
TXN000144,2024-01-08,ACC000180,Withdrawal,11783.58,ERP,Adjusted,Incorrect Amount,EUR,BRC020,User_5,Approved,,POS,2024-01-08
TXN000145,2024-03-12,ACC000307,Payment,-4493.61,Bank,Adjusted,None,NGN,BRC003,User_21,Pending,Duplicate entry,ATM,2024-03-12
TXN000146,2024-01-24,ACC000187,Transfer,-4577.27,Payroll,Matched,None,CAD,BRC007,User_32,Approved,Duplicate entry,Manual Entry,2024-01-24
TXN000147,2024-01-07,ACC000062,Invoice,2963.6,Bank,Mismatched,Missing,CAD,BRC005,User_20,Pending,Urgent,Wire Transfer,2024-01-07
TXN000148,2024-01-05,ACC000162,Unknown,2452.03,General Ledger,Matched,None,NGN,BRC016,User_45,Approved,Confirmed,Manual Entry,2024-01-05
TXN000149,2024-01-19,ACC000026,Withdrawal,-970.62,CRM,Pending,Missing,GBP,BRC006,User_10,Pending,Confirmed,Manual Entry,2024-01-19
TXN000150,2024-02-11,ACC000348,Payment,14171.9,General Ledger,Mismatched,Incorrect Amount,EUR,BRC002,User_1,Pending,,POS,2024-02-11
TXN000151,2024-03-09,ACC000117,Withdrawal,11039.07,ERP,Mismatched,Duplicate,USD,BRC011,User_49,Rejected,,Manual Entry,2024-03-09
TXN000152,2024-01-26,ACC000261,Invoice,11217.55,CRM,Matched,None,GBP,BRC017,User_14,Rejected,Urgent,Wire Transfer,2024-01-26
TXN000153,,ACC000309,Transfer,9758.37,General Ledger,Matched,None,GBP,Unknown,User_8,Approved,Confirmed,ATM,
TXN000154,2024-03-03,ACC000457,Transfer,166.88,Unknown,,Duplicate,EUR,BRC016,User_28,Approved,Urgent,Wire Transfer,2024-03-03
TXN000155,2024-02-25,ACC000487,Invoice,12991.74,General Ledger,Pending,Duplicate,GBP,BRC012,User_23,Pending,Confirmed,Manual Entry,2024-02-25
TXN000156,2024-01-23,ACC000423,Invoice,7536.35,ERP,Matched,None,USD,BRC003,User_30,Approved,Urgent,ATM,2024-01-23
TXN000157,2024-01-17,ACC000180,Deposit,5655.36,ERP,Adjusted,Incorrect Amount,GBP,BRC015,User_26,Pending,,ATM,2024-01-17
TXN000158,2024-03-16,ACC000257,Withdrawal,6221.27,General Ledger,Matched,None,CAD,BRC015,User_40,Rejected,Needs review,Manual Entry,2024-03-16
TXN000159,2024-03-26,ACC000320,Deposit,3398.98,CRM,Adjusted,Duplicate,NGN,BRC015,User_24,Approved,Confirmed,Manual Entry,
TXN000160,2024-01-12,ACC000424,Payment,-717.78,ERP,Adjusted,Duplicate,GBP,BRC016,User_31,Pending,Duplicate entry,ATM,2024-01-12
TXN000161,2024-02-02,ACC000081,Deposit,-1028.93,CRM,Adjusted,Incorrect Amount,NGN,BRC006,User_30,Approved,Duplicate entry,Wire Transfer,2024-02-02
TXN000162,2024-03-22,ACC000075,Payment,2865.81,CRM,Pending,None,GBP,BRC007,User_29,Pending,Urgent,ATM,2024-03-22
TXN000163,2024-02-02,,Deposit,-88.82,Payroll,Adjusted,Duplicate,CAD,BRC018,User_6,Pending,,POS,2024-02-02
TXN000164,2024-01-05,ACC000064,Withdrawal,-1524.61,Payroll,Adjusted,None,CAD,BRC012,User_32,Rejected,Incorrect amount,Online,2024-01-05
TXN000165,2024-03-25,ACC000357,Transfer,12759.17,Unknown,Matched,None,GBP,BRC016,User_16,Rejected,,Wire Transfer,2024-03-25
TXN000166,2024-02-23,ACC000253,Withdrawal,10492.46,Payroll,Matched,None,NGN,BRC013,User_25,Approved,Needs review,Manual Entry,2024-02-23
TXN000167,2024-02-11,ACC000118,Payment,-1891.93,General Ledger,Mismatched,None,NGN,BRC017,User_13,Pending,,ATM,2024-02-11
TXN000168,2024-03-23,ACC000178,Deposit,2626.59,Payroll,Adjusted,Duplicate,NGN,BRC014,User_41,Approved,Incorrect amount,Manual Entry,2024-03-23
TXN000169,2024-02-10,ACC000246,Withdrawal,-2336.75,Payroll,Pending,Missing,GBP,BRC016,User_15,Approved,Incorrect amount,ATM,2024-02-10
TXN000170,2024-01-31,ACC000152,Invoice,3704.33,Payroll,Pending,Duplicate,GBP,BRC016,User_28,Pending,Confirmed,Online,2024-01-31
TXN000171,2024-02-29,ACC000454,Invoice,-1074.5,Payroll,Mismatched,Missing,USD,BRC010,User_43,Rejected,,POS,2024-02-29
TXN000172,2024-01-08,ACC000451,Unknown,-4316.21,Bank,Mismatched,Duplicate,USD,BRC005,User_23,Approved,Needs review,Online,2024-01-08
TXN000173,2024-02-22,ACC000027,Transfer,535.51,ERP,Mismatched,Missing,EUR,BRC018,User_42,Approved,Urgent,ATM,2024-02-22
TXN000174,2024-02-14,ACC000323,Invoice,8798.06,CRM,Pending,None,CAD,BRC013,User_11,Pending,,Manual Entry,2024-02-14
TXN000175,2024-01-04,ACC000082,Transfer,10093.66,ERP,Pending,Missing,NGN,BRC006,User_29,Pending,,Manual Entry,2024-01-04
TXN000176,2024-02-20,ACC000446,Transfer,4353.86,ERP,Adjusted,None,NGN,BRC006,User_14,Pending,Incorrect amount,Manual Entry,2024-02-20
TXN000177,2024-03-21,ACC000291,Transfer,3720.59,CRM,Pending,Missing,EUR,BRC004,User_6,Rejected,Incorrect amount,Wire Transfer,2024-03-21
TXN000178,2024-03-25,ACC000498,Withdrawal,-2176.09,CRM,Pending,None,EUR,BRC005,User_40,Pending,Urgent,ATM,2024-03-25
TXN000179,2024-03-22,ACC000183,Withdrawal,9472.97,Bank,Pending,Duplicate,GBP,BRC009,,Approved,Incorrect amount,ATM,2024-03-22
TXN000180,2024-02-07,ACC000177,Transfer,2997.15,ERP,Pending,None,EUR,BRC017,User_39,Pending,Urgent,Wire Transfer,2024-02-07
